fid,districtID,districtID_old,nameID,district_en,provinceID,province,islandID,island,district_bahasa,gs_2010,gs_2011,gs_2012,gs_2013,gs_2014,gs_2015,gs_2016,gs_2017,gs_2018,gs_2019,gs_2020,gs_2021,gs_2022,gs_2023,gs_2024,gs_2025
87,1473,1473,kotadumai,Dumai City,14,Riau,1,Sumatera,Kota Dumai,1280.3,1334.7,1343.36,1415.62,1388.52,1410.13,1422.44,1429.07,1435.92,1465.07,1358.88,1393.21,1494.79,1636.16,1725.67,1688.17
88,1501,1501,kerinci,Kerinci,15,Jambi,1,Sumatera,Kerinci,550.85,570.85,606.98,632.05,641.78,655.98,643.73,690.87,747.79,818.38,773.63,783.99,798.1,815.06,829.78,777.21
89,1502,1502,merangin,Merangin,15,Jambi,1,Sumatera,Merangin,546.21,565.81,600.61,640.07,660.43,683.69,679.84,700.57,720.52,780.5,744.13,752.53,764.12,778.15,834.07,832.54
90,1503,1503,sarolangun,Sarolangun,15,Jambi,1,Sumatera,Sarolangun,457.74,476.01,507.28,533.46,552.34,571.08,563.37,582.36,609.85,641.42,603.06,608.51,618.08,636.21,676.3,648.12
91,1504,1504,batanghari,Batang Hari,15,Jambi,1,Sumatera,Batang Hari,494.29,515.35,565.35,591.13,612.05,624.16,602.92,679.87,712.1,754.32,719.7,725.39,734.6,746.35,818.35,751.6
92,1505,1505,muarojambi,Muaro Jambi,15,Jambi,1,Sumatera,Muaro Jambi,868.42,888.91,945.18,982.99,1007.95,1009.89,981.04,1002.77,1055.14,1146.66,1085.37,1062.27,1073.48,1085.47,1094.54,1042.6
93,1506,1506,tanjungjabungtimur,East Tanjung Jabung,15,Jambi,1,Sumatera,Tanjung Jabung Timur,566.8,610.78,649.26,726.03,634.91,719.08,713.78,747.63,782.15,822.93,780.41,794.73,809.08,820.8,851.05,746.68
94,1507,1507,tanjungjabungbarat,West Tanjung Jabung,15,Jambi,1,Sumatera,Tanjung Jabung Barat,498.34,518.92,553.42,581.15,601.89,618.67,617.25,638.34,665.64,725.4,687.92,695.91,706.12,721.4,748.29,736.35
95,1508,1508,tebo,Tebo,15,Jambi,1,Sumatera,Tebo,418.07,439.2,463.91,488.92,516.41,528.98,521.81,546.99,574.47,624.18,593.58,600.05,606.9,614.97,646.23,628.18
96,1509,1509,bungo,Bungo,15,Jambi,1,Sumatera,Bungo,579.92,595.78,609.66,634.84,658.68,675.89,667.65,681.67,716.39,781.09,747.06,744.21,751.8,764.44,824.29,737.76
97,1571,1571,kotajambi,Jambi City,15,Jambi,1,Sumatera,Kota Jambi,2835.32,3028.79,3220.51,3357.06,3411.11,3424.91,3394.85,3676.52,3915.4,4210.23,4054.06,4079.74,4141.59,4224.33,4453.35,3836.49
98,1572,1572,kotasungaipenuh,Sungai Penuh City,15,Jambi,1,Sumatera,Kota Sungai Penuh,228.29,239.79,256.23,269.01,282.72,287.28,282.99,285.62,296.53,323.45,319,323.26,334.39,354.46,355.53,348.48
99,1601,1601,ogankomeringulu,Ogan Komering Ulu,16,Sumatera Selatan,1,Sumatera,Ogan Komering Ulu,671.79,702.61,749.53,792.78,811.14,857.55,808.81,806.1,884.43,958.23,673.45,675.97,689,734.84,785.71,821.51
100,1602,1602,ogankomeringilir,Ogan Komering Ilir,16,Sumatera Selatan,1,Sumatera,Ogan Komering Ilir,1023.45,1057.09,1131.12,1199.53,1229.17,1286.26,1219.35,1254.57,1339.23,1463.42,1370.69,1382.69,1410.03,1496.22,1615.21,1653.89
101,1603,1603,muaraenim,Muara Enim,16,Sumatera Selatan,1,Sumatera,Muara Enim,1086.79,1131.75,1225.71,1298.34,1328.29,1384.99,1318.23,1433.18,1544.81,1632.82,1385.45,1417.62,1442.55,1535.64,1642.37,1662.24
102,1604,1604,lahat,Lahat,16,Sumatera Selatan,1,Sumatera,Lahat,1159.07,1199.28,1291.52,1369.74,1409.83,1468.63,1399.34,1545.23,1686.28,1753.38,1688.33,1709.77,1720.87,1837.96,1975.7,2000.84
103,1605,1605,musirawas,Musi Rawas,16,Sumatera Selatan,1,Sumatera,Musi Rawas,826.87,853.13,924.12,990.13,1011.76,1061.96,991.31,1084.76,1164.67,1265.3,1141.3,1150.05,1153.51,1212.77,1349.03,1327.98
104,1606,1606,musibanyuasin,Musi Banyuasin,16,Sumatera Selatan,1,Sumatera,Musi Banyuasin,2128.91,2238.83,2410.74,2555.54,2624.47,2707.24,2721.24,2755.57,2802.97,2937.74,2803.78,2852.94,2878.9,3077.6,3304.75,3308.87
105,1607,1607,banyuasin,Banyuasin,16,Sumatera Selatan,1,Sumatera,Banyu Asin,1015.84,1057,1126.91,1221.05,1240.68,1302.03,1234.53,1292.2,1395.47,1467.72,1293.94,1318.14,1344.03,1445.1,1526.93,1555.45
106,1608,1608,ogankomeringuluselatan,South Ogan Komering Ulu,16,Sumatera Selatan,1,Sumatera,Ogan Komering Ulu Selatan,509.36,528.96,562.82,584.28,601.14,628.17,608.05,663.8,717.89,762.9,673.75,689.45,701.23,744.61,776.59,797.7
